,born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
221,420,233,27,55,4,0,31,0,178,59837
222,397,159,26,80,2,5,19,0,147,59344
223,1054,220,51,279,0,0,189,0,386,59414
224,400,72,37,75,10,9,40,1,186,59416
225,308,36,7,70,0,0,124,0,120,59444
226,125,32,7,4,8,5,25,0,51,59462
227,25,3,0,3,0,0,0,0,14,59465
228,564,120,50,136,0,19,81,0,188,59483
229,1192,271,56,317,0,13,174,0,462,59520
230,1723,385,138,240,0,29,228,0,716,59522
231,80,35,0,18,0,0,30,0,28,59535
232,30611,13794,2807,5564,288,2153,4278,170,11922,59601
233,514,176,62,87,0,0,57,0,269,59643
234,8942,3346,580,1458,85,312,1639,28,3812,59711
235,9037,3495,635,1905,4,240,1255,8,3458,59457
236,478,193,37,66,1,16,47,0,227,59464
237,74,14,0,2,0,0,40,0,20,59546
238,479,230,57,75,18,18,106,0,277,59477
239,145,21,6,28,0,2,21,0,71,59542
240,231,100,14,52,0,8,58,0,89,59631
241,254,110,28,27,0,0,22,0,127,59710
242,422,207,39,81,0,7,29,0,170,59226
243,610,168,46,103,2,0,38,0,273,59248
244,154,15,26,44,0,0,12,0,57,59260
245,765,225,73,190,6,38,58,0,306,59262
246,1550,534,158,348,7,8,81,0,601,59263
247,341,160,31,68,1,6,36,0,141,59275
248,162,15,8,48,0,1,22,0,62,59339
249,31,0,1,2,0,0,0,0,17,59354
250,168,156,57,0,0,0,21,0,112,59720
251,1705,886,100,333,5,18,86,0,696,59749
252,395,128,22,74,7,8,16,0,179,59750
253,217,125,17,32,0,0,43,0,92,59751
254,433,201,0,5,0,0,0,3,368,59756
255,263,143,23,26,0,18,41,0,130,59762
256,2784,873,149,742,24,74,495,6,1060,59821
257,13597,8375,696,2304,50,314,2894,27,5435,59840
258,2991,1774,138,448,15,0,567,0,1248,59859
259,3395,1363,150,823,15,129,1105,1,1230,59865
260,982,512,18,330,8,8,355,0,353,59866
261,254,224,13,10,0,12,33,0,137,59871
262,3625,2208,160,809,0,58,801,0,1345,59873
263,379,110,0,134,0,23,72,0,102,59915
264,142,89,9,6,0,1,0,0,68,59916
265,4828,2297,169,1085,22,160,863,8,1723,59917
266,168,101,0,0,0,0,16,0,95,59928
267,89,34,4,15,0,0,0,0,41,59010
268,207,59,36,31,0,0,6,0,74,59013
269,512,235,36,130,0,12,37,0,205,59018
270,1541,558,154,352,0,35,72,0,622,59037
271,159,73,17,13,0,0,4,0,83,59052
272,575,107,27,198,0,14,194,0,196,59066
273,231,99,13,56,0,6,11,0,89,59067
274,149,60,39,17,0,0,0,0,62,59071
275,216,5,26,92,0,5,47,0,64,59075
276,71,20,5,12,0,0,23,0,25,59076
277,904,413,88,170,0,8,95,0,338,59086
278,393,170,34,59,5,0,23,0,164,59087
279,1518,593,103,332,0,73,304,0,602,59088
280,30905,12536,3184,8364,232,935,2425,249,10916,59105
281,166,77,12,67,0,3,7,0,59,59211
282,1122,529,108,174,2,19,70,0,459,59317
283,161,35,6,69,0,4,4,0,43,59318
284,8654,3232,635,1939,30,255,1015,48,3483,59330
